No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32000310,8.2,6,2.8,8.25,7.5,5.75,0,0,0,23.95,19.25,21.45,17
'32000732,8.2,7.25,3.4,8,7.75,5.75,0,0,0,23.95,19.6,21.7,18.85
'32000339,9.2,7.75,8.4,6.25,8.5,6.75,0,0,0,23.95,23.85,24.45,25.35
'32002324,8.4,5.25,4.6,7.25,8.25,4,0,0,0,23.9,20.25,20.65,18.25
'32001883,8.4,6.75,6.6,6.25,9.25,8,0,0,0,23.9,21.25,25.65,21.75
'32002498,9.4,6.75,9.8,9.25,5.25,7.5,0,0,0,23.9,28.45,22.15,25.95
'32000006,8.4,5,4,8,7.5,5.75,0,0,0,23.9,20.4,21.65,17.4
'32002839,9.4,6.75,8.8,8.75,5.75,5.75,0,0,0,23.9,26.95,20.9,24.95
'32002778,8.4,5.5,5.4,7.5,8,4.75,0,0,0,23.9,21.3,21.15,19.3
'32000613,8.4,0,0,8,7.5,0,0,0,0,23.9,16.4,15.9,8.4
'32002344,8.6,5,3.6,7.75,7.5,3.5,0,0,0,23.85,19.95,19.6,17.2
'32002315,8.6,5.5,3.2,6.75,8.5,9,0,0,0,23.85,18.55,26.1,17.3
'32001003,8.6,5.75,3.2,7.75,7.5,7,0,0,0,23.85,19.55,23.1,17.55
'32000670,8.6,6.5,5,7.25,8,4,0,0,0,23.85,20.85,20.6,20.1
'32001222,8.8,6.75,5.4,6.75,8.25,5.5,0,0,0,23.8,20.95,22.55,20.95
'32002317,8.8,5.5,6,7.5,7.5,6.25,0,0,0,23.8,22.3,22.55,20.3
'32001522,7.8,7.25,4.4,7.75,8.25,5.5,0,0,0,23.8,19.95,21.55,19.45
'32000593,9.8,0,8,8,6,0,0,0,0,23.8,25.8,15.8,17.8
'32001321,8.8,0,0,6.25,8.75,8.25,0,0,0,23.8,15.05,25.8,8.8
'32002570,8,5.5,3.4,7.75,8,4,0,0,0,23.75,19.15,20,16.9
'32000225,9,0,0,7,7.75,0,0,0,0,23.75,16,16.75,9
'32000517,9,6.25,5.4,7.5,7.25,7.25,0,0,0,23.75,21.9,23.5,20.65
'32000308,8,5.5,5,7.75,8,4.25,0,0,0,23.75,20.75,20.25,18.5
'32001411,8.2,5.5,3.4,7,8.5,5.75,0,0,0,23.7,18.6,22.45,17.1
'32002601,8.2,0,0,8,7.5,0,0,0,0,23.7,16.2,15.7,8.2
'32001177,9.2,8.25,3.4,6.5,8,9.25,0,0,0,23.7,19.1,26.45,20.85
'32002338,8.4,5.25,4.2,7.75,7.5,6,0,0,0,23.65,20.35,21.9,17.85
'32002666,7.4,7,2.2,8.5,7.75,3,0,0,0,23.65,18.1,18.15,16.6
'32002786,8.6,6.25,8.6,9.25,5.75,6.25,0,0,0,23.6,26.45,20.6,23.45
'32001415,8.6,5.75,3.8,7.75,7.25,6,0,0,0,23.6,20.15,21.85,18.15
'32000211,8.6,6.75,3.2,7.25,7.75,5.25,0,0,0,23.6,19.05,21.6,18.55
'32002489,8.6,5.5,5.4,7.75,7.25,4.75,0,0,0,23.6,21.75,20.6,19.5
'32000685,8.6,6.5,3.6,7.75,7.25,4.5,0,0,0,23.6,19.95,20.35,18.7
'32001399,7.6,6.25,3,8.25,7.75,6.75,0,0,0,23.6,18.85,22.1,16.85
'32001875,8.6,6.5,7.2,8,7,6.75,0,0,0,23.6,23.8,22.35,22.3
'32001685,8.8,3.75,6,7.5,7.25,5.75,0,0,0,23.55,22.3,21.8,18.55
'32002301,7.8,3.5,4.8,7.75,8,4,0,0,0,23.55,20.35,19.8,16.1
'32000489,8.8,0,0,6.75,8,0,0,0,0,23.55,15.55,16.8,8.8
'32002600,8.8,6.75,4.6,6,8.75,7.25,0,0,0,23.55,19.4,24.8,20.15
'32002605,9,7.25,5,5.75,8.75,8.5,0,0,0,23.5,19.75,26.25,21.25
'32001864,9,5.5,8.8,8.25,6.25,6.25,0,0,0,23.5,26.05,21.5,23.3
'32001280,8,8.25,3,7,8.5,6,0,0,0,23.5,18,22.5,19.25
'32002333,9,8.25,7.8,6.25,8.25,7.5,0,0,0,23.5,23.05,24.75,25.05
'32000186,8.2,7,4.6,7,8.25,5.5,0,0,0,23.45,19.8,21.95,19.8
'32001014,8.2,7.5,6,7.25,8,8.25,0,0,0,23.45,21.45,24.45,21.7
'32001617,8.4,6.5,2.4,8,7,4,0,0,0,23.4,18.8,19.4,17.3
'32001732,8.4,5.75,3.6,7.25,7.75,5.25,0,0,0,23.4,19.25,21.4,17.75
'32002305,8.4,6.75,5.6,7,8,4.25,0,0,0,23.4,21,20.65,20.75
'32000490,8.4,6,4.8,7.5,7.5,7.75,0,0,0,23.4,20.7,23.65,19.2
'32000278,8.4,6.75,4,7.25,7.75,6.5,0,0,0,23.4,19.65,22.65,19.15
'32000706,8.6,6.25,4.4,8.5,6.25,6.25,0,0,0,23.35,21.5,21.1,19.25
'32000025,8.6,4.5,4,6.75,8,4.25,0,0,0,23.35,19.35,20.85,17.1
'32001009,8.6,7.5,3.6,8,6.75,5.25,0,0,0,23.35,20.2,20.6,19.7
'32001013,8.6,8.5,5.8,6.5,8.25,8.25,0,0,0,23.35,20.9,25.1,22.9
'32001665,8.6,6,4.2,7,7.75,7,0,0,0,23.35,19.8,23.35,18.8
'32000160,8.6,6.5,2.4,7.25,7.5,3.5,0,0,0,23.35,18.25,19.6,17.5
'32001953,8.8,8,6.8,7.5,7,6,0,0,0,23.3,23.1,21.8,23.6
'32001954,7.8,5.75,7,7.5,8,4.75,0,0,0,23.3,22.3,20.55,20.55
'32002728,7.8,6,4.4,7.75,7.75,6.25,0,0,0,23.3,19.95,21.8,18.2
'32002505,8.8,5,3.4,7.75,6.75,3.75,0,0,0,23.3,19.95,19.3,17.2
'32000241,7.8,6.25,3,7,8.5,4.75,0,0,0,23.3,17.8,21.05,17.05
'32001705,7.8,5.5,3.4,7.75,7.75,6,0,0,0,23.3,18.95,21.55,16.7
'32002835,9,8,8.2,7.25,7,6,0,0,0,23.25,24.45,22,25.2
'32002504,8,5.75,3.8,8,7.25,4,0,0,0,23.25,19.8,19.25,17.55
'32002334,8,7,3.8,7.25,8,4,0,0,0,23.25,19.05,20,18.8
'32000256,8,6.5,4.2,7.5,7.75,3.25,0,0,0,23.25,19.7,19,18.7
'32001231,8.2,7.25,3,7,8,5.25,0,0,0,23.2,18.2,21.45,18.45
'32001016,8.2,6.25,4.8,7,8,7.25,0,0,0,23.2,20,23.45,19.25
'32001562,8.2,6.5,2.6,7,8,5.75,0,0,0,23.2,17.8,21.95,17.3
'32001286,9.2,6,5.8,9,5,5,0,0,0,23.2,24,19.2,21
'32000281,8.2,0,0,8,7,2.5,0,0,0,23.2,16.2,17.7,8.2
'32002331,8.4,7,4.8,7.25,7.5,5.25,0,0,0,23.15,20.45,21.15,20.2
