No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32000909,7.6,7.75,7.4,0,0,0,4.5,7.5,9.25,7.6,15,7.6,22.75
'32000918,7.4,8.75,6.6,0,0,0,4,6.75,8.25,7.4,14,7.4,22.75
'32001377,8.8,6.75,7.2,0,0,0,6.25,7.75,8.5,8.8,16,8.8,22.75
'32002033,9,7.75,6,0,0,0,9.75,8,7.75,9,15,9,22.75
'32002411,9.2,4.75,8.8,8.5,3.5,4.75,0,0,0,21.2,26.5,17.45,22.75
'32000598,9,7.75,6,0,0,0,0,0,0,9,15,9,22.75
'32002745,7.4,7.5,7.8,0,0,0,4.25,6.5,8,7.4,15.2,7.4,22.7
'32001744,9,7.5,6.2,0,0,0,4.5,8.5,8.75,9,15.2,9,22.7
'32002483,7.6,8.25,6.8,0,0,0,7.5,7.5,8.5,7.6,14.4,7.6,22.65
'32001934,9.2,5.25,8.2,7.25,4.25,6,0,0,0,20.7,24.65,19.45,22.65
'32001484,8.8,7,6.8,0,0,0,7,7,9.25,8.8,15.6,8.8,22.6
'32001733,7,8,7.6,0,0,0,6,7.5,9.25,7,14.6,7,22.6
'32002100,9,8,5.6,0,0,0,7,7.75,7.5,9,14.6,9,22.6
'32002707,8.4,8,6.2,0,0,0,3.75,7.25,8.25,8.4,14.6,8.4,22.6
'32000373,8.8,6.75,7,7.25,8.75,8.5,0,0,0,24.8,23.05,26.05,22.55
'32001909,7.6,7.75,7.2,0,0,0,4.75,5,8.25,7.6,14.8,7.6,22.55
'32002449,8.6,5.75,8.2,8.5,6,5.5,0,0,0,23.1,25.3,20.1,22.55
'32000109,8,7.75,6.8,0,0,0,5.75,8.25,9.25,8,14.8,8,22.55
'32002646,8.2,7.5,6.8,0,0,0,4,8,8,8.2,15,8.2,22.5
'32001527,8.4,7.5,6.6,7.5,6.25,5.25,0,0,0,22.15,22.5,19.9,22.5
'32002670,8.4,6.5,7.6,7.75,5.5,4.75,0,0,0,21.65,23.75,18.65,22.5
'32002117,8,7.5,7,0,0,0,6.25,7.75,8.75,8,15,8,22.5
'32002599,8.2,6.25,8,7.75,5.75,6,0,0,0,21.7,23.95,19.95,22.45
'32002463,8.4,7.25,6.8,0,0,0,3.25,4.75,6.5,8.4,15.2,8.4,22.45
'32000529,9,7.25,6.2,5.5,8.5,9.75,0,0,0,23,20.7,27.25,22.45
'32001758,8,7.25,7.2,0,0,0,5.25,6,6.5,8,15.2,8,22.45
'32002321,8.2,6.25,8,5.5,8.75,7.25,0,0,0,22.45,21.7,24.2,22.45
'32001554,7.6,8,6.8,0,0,0,6.75,7.75,8.75,7.6,14.4,7.6,22.4
'32000479,8.4,8,6,0,0,0,0,0,0,8.4,14.4,8.4,22.4
'32000968,7,9,6.4,0,0,0,6.5,8.5,8.25,7,13.4,7,22.4
'32002819,8.4,8,6,0,0,0,3.75,5.25,7.25,8.4,14.4,8.4,22.4
'32000129,7.8,7.75,6.8,0,0,0,4.5,6.75,8,7.8,14.6,7.8,22.35
'32000970,7.6,7.75,7,0,0,0,4.75,7.25,8.75,7.6,14.6,7.6,22.35
'32001730,9,6.75,6.6,8.5,9,5,0,0,0,26.5,24.1,23,22.35
'32002457,8,7.75,6.6,0,0,0,1.25,5.25,7,8,14.6,8,22.35
'32002719,8.6,5.75,8,8,4.75,3.75,0,0,0,21.35,24.6,17.1,22.35
'32001149,9.4,5.75,7.2,8.25,4.5,5.5,0,0,0,22.15,24.85,19.4,22.35
'32002320,9.4,6.75,6.2,9,8,4.75,0,0,0,26.4,24.6,22.15,22.35
'32000258,8.8,7.75,5.8,0,0,0,5.25,5.5,8.75,8.8,14.6,8.8,22.35
'32000046,8.4,7.75,6.2,3.75,7.75,7.25,0,0,0,19.9,18.35,23.4,22.35
'32002355,7.4,7.5,7.4,0,0,0,2.75,5.25,8,7.4,14.8,7.4,22.3
'32001886,7.4,8.5,6.4,0,0,0,9.25,9.25,8.75,7.4,13.8,7.4,22.3
'32000822,8.6,7.5,6.2,0,0,0,7.75,7.75,8.75,8.6,14.8,8.6,22.3
'32001875,8.6,6.5,7.2,8,7,6.75,0,0,0,23.6,23.8,22.35,22.3
'32001844,8,6.5,7.8,0,0,0,5.5,7.5,9,8,15.8,8,22.3
'32002465,6.6,8.25,7.4,0,0,0,3.75,5.5,7,6.6,14,6.6,22.25
'32002738,8.8,7.25,6.2,8,7.5,4,0,0,0,24.3,23,20.3,22.25
'32001645,7.4,7.25,7.6,0,0,0,4.5,7,7.75,7.4,15,7.4,22.25
'32001984,7.8,8.25,6.2,0,0,0,3.75,6.25,7.5,7.8,14,7.8,22.25
'32002834,8.4,7.25,6.6,7.5,8.5,6.75,0,0,0,24.4,22.5,23.65,22.25
'32002060,7.6,8.25,6.4,0,0,0,5.5,7.5,9,7.6,14,7.6,22.25
'32000770,8,8,6.2,0,0,0,8,8.5,8.75,8,14.2,8,22.2
'32000249,8.6,7,6.6,8.25,3.75,6.75,0,0,0,20.6,23.45,19.1,22.2
'32002013,8.8,5,8.4,7.5,2.75,4,0,0,0,19.05,24.7,15.55,22.2
'32000018,8.4,6,7.8,7.75,4.5,5.25,0,0,0,20.65,23.95,18.15,22.2
'32002770,6.4,7,8.8,0,0,0,4.25,6.75,7.75,6.4,15.2,6.4,22.2
